0x1FC1D2E30000	"FRRECSPN"
0x1FC1D2E30001	"右前轮胎压力传感器信号接收计数器"
0x1FC1D2E30002	"右前轮轮胎压力过低复位阈值"
0x1FC1D2E30003	"右前座椅安全带搭扣开关"
0x1FC1D2E30004	"右前轮胎压力传感器ID"
0x1FC1D2E30005	"右前传感器状态信息3"
0x1FC1D2E30006	"右前传感器状态信息2"
0x1FC1D2E30007	"右前传感器状态信息1"
0x1FC1D2E30008	"右前轮轮胎压力过低设定阈值"
0x1FC1D2E30009	"FRSTATUS1"
0x1FC1D2E3000A	"右前轮胎压力传感器电池状态"
0x1FC1D2E3000B	"右前轮胎压力传感器信号状态"
0x1FC1D2E3000C	"FRSTATUS"
0x1FC1D2E3000D	"在MD模式时的LFD_force_RF_Tx"
0x1FC1D2E3000E	"在MS模式时的LFD_force_RF_Tx"
0x1FC1D2E3000F	"在任一模式时的LFD_LCC_ST"
0x1FC1D2E30010	"在任一模式时的LFD_Loc_WakeUp"
0x1FC1D2E30011	"在任一模式时的LFD_Loc_Status"
0x1FC1D2E30012	"在任一模式时的LFD_force_MP_HL"
0x1FC1D2E30013	"在MP模式时的LFD_force_RF_Tx"
0x1FC1D2E30014	"定时变速箱或DP模式变速箱"
0x1FC1D2E30015	"在MI模式时的LFD_force_RF_Tx"
0x1FC1D2E30016	"右前轮胎内部温度"
0x1FC1D2E30017	"右前轮胎压力传感器温度"
0x1FC1D2E30018	"右前轮速度"
0x1FC1D2E30019	"来自VSA的右前轮转速传感器故障信息"
0x1FC1D2E3001A	"右前轮速度"
0x1FC1D2E3001B	"前部刮水器控制系统(FWS)"
0x1FC1D2E3001C	"右前轮胎警告指示器"
0x1FC1D2E3001D	"FRZDEXST"
0x1FC1D2E3001E	"FRZDSPRT"
0x1FC1D2E3001F	"冻结DTC和系统数据（BCM模块）"
0x1FC1D2E30020	"冻结DTC和系统数据（MCM）"
0x1FC1D2E30021	"冻结DTC和系统数据（蓄电池ECU）"
0x1FC1D2E30022	"冻结DTC和系统数据（电机ECU）"
0x1FC1D2E30023	"FRZDTC"
0x1FC1D2E30024	"FRZDTC"
0x1FC1D2E30025	"FRZDTC"
0x1FC1D2E30026	"FRZDTC"
0x1FC1D2E30027	"FRZDTC"
0x1FC1D2E30028	"FRZDTC"
0x1FC1D2E30029	"FRZDTC"
0x1FC1D2E3002A	"FRZDTC"
0x1FC1D2E3002B	"FRZDTC"
0x1FC1D2E3002C	"FRZDTC（TRC）"
0x1FC1D2E3002D	"冻结DTC和系统数据（管理ECU）"
0x1FC1D2E3002E	"FRZDTC"
0x1FC1D2E3002F	"FRZDTC"
0x1FC1D2E30030	"FRZDTC"
0x1FC1D2E30031	"FRZDTC"
0x1FC1D2E30032	"FRZDTC"
0x1FC1D2E30033	"EWG冻结信息，缸组2"
0x1FC1D2E30034	"EWG冻结信息"
0x1FC1D2E30035	"该参数指示导致定格数据存储的FCODESBW"
0x1FC1D2E30036	"FRZSTR"
0x1FC1D2E30037	"雾灯指令"
0x1FC1D2E30038	"前部雾灯-欧洲"
0x1FC1D2E30039	"前部雾灯-美国"
0x1FC1D2E3003A	"前排乘客车门锁止开关"
0x1FC1D2E3003B	"前排乘客侧车门解锁开关"
0x1FC1D2E3003C	"右前/右后高度传感器"
0x1FC1D2E3003D	"右前"
0x1FC1D2E3003E		"本田FR-V(FR-V)"
0x1FC1D2E3003F		"本田FR-V柴油版(FR-V DIESEL)"
0x1FC1D2E30040	"挡风玻璃清洗装置电机指令"
0x1FC1D2E30041	"前部清洗装置：运行5秒钟。"
0x1FC1D2E30042	"前部刮水器（高速）：运行5秒钟。"
0x1FC1D2E30043	"前部刮水器（低速）：运行5秒钟。"
0x1FC1D2E30044	"挡风玻璃刮水器开关（倒车）"
0x1FC1D2E30045	"挡风玻璃刮水器开关（高速）"
0x1FC1D2E30046	"挡风玻璃刮水器开关（低速）"
0x1FC1D2E30047	"挡风玻璃刮水器电机高速指令"
0x1FC1D2E30048	"挡风玻璃刮水器电机驻车开关"
0x1FC1D2E30049	"DC-DC转换器信息"
0x1FC1D2E3004A	"DC-DC转换器信息"
0x1FC1D2E3004B	"DC-DC转换器信息"
0x1FC1D2E3004C	"DC-DC转换器信息"
0x1FC1D2E3004D	"DC-DC转换器信息"
0x1FC1D2E3004E	"DC-DC转换器信息"
0x1FC1D2E3004F	"DC-DC转换器信息"
0x1FC1D2E30050	"DC-DC转换器信息"
0x1FC1D2E30051	"DC-DC转换器停止历史（输出电压过高）"
0x1FC1D2E30052	"DC-DC转换器停止历史（输出电压过高）"
0x1FC1D2E30053	"DC-DC转换器停止历史（输出电压过高）"
0x1FC1D2E30054	"DC-DC转换器停止历史（输出电压过高）"
0x1FC1D2E30055	"DC-DC转换器停止历史（输出电压过高）"
0x1FC1D2E30056	"FSCODE"
0x1FC1D2E30057	"确认的DTC"
0x1FC1D2E30058	"CVM故障代码（备用）"
0x1FC1D2E30059	"CVM故障代码"
0x1FC1D2E3005A	"FCVCU故障代码（备用）"
0x1FC1D2E3005B	"FCVCU故障代码"
0x1FC1D2E3005C	"当前DTC"
0x1FC1D2E3005D	"IMP故障代码（备用）"
0x1FC1D2E3005E	"IMP故障代码"
0x1FC1D2E3005F	"PCM故障代码"
0x1FC1D2E30060	"FSCOM"
0x1FC1D2E30061	"FSDONE"
0x1FC1D2E30062	"FSDS316"
0x1FC1D2E30063	"备用故障代码（FS ECU）"
0x1FC1D2E30064	"故障代码（FS ECU）"
0x1FC1D2E30065	"设置开关"
0x1FC1D2E30066	"FSM11"
0x1FC1D2E30067	"FSM15"
0x1FC1D2E30068	"FSM16"
0x1FC1D2E30069	"FSM17"
0x1FC1D2E3006A	"FSM22"
0x1FC1D2E3006B	"FSM41"
0x1FC1D2E3006C	"FSM42"
0x1FC1D2E3006D	"FSM43"
0x1FC1D2E3006E	"FSM45"
0x1FC1D2E3006F	"FSM62"
0x1FC1D2E30070	"FSM64"
0x1FC1D2E30071	"FSM65"
0x1FC1D2E30072	"FSREQ"
0x1FC1D2E30073	"失效保护继电器"
0x1FC1D2E30074	"失效保护继电器状态"
0x1FC1D2E30075	"FSS（燃油系统状态）"
0x1FC1D2E30076	"FSS（燃油系统状态）（B1）"
0x1FC1D2E30077	"失效保护代码"
0x1FC1D2E30078	"FSS（燃油系统状态）B1"
0x1FC1D2E30079	"FSS（燃油系统状态）B2"
0x1FC1D2E3007A	"FSTE"
0x1FC1D2E3007B	"快速故障号"
0x1FC1D2E3007C	"FST计算"
0x1FC1D2E3007D	"FST电压"
0x1FC1D2E3007E	"LED运行 - 红色"
0x1FC1D2E3007F	"LED运行 - 绿色"
0x1FC1D2E30080	"FTCV驱动电路"
0x1FC1D2E30081	"燃油蒸汽防漏阀"
0x1FC1D2E30082	"FTEAD"
0x1FC1D2E30083	"FTP（油箱压力）传感器"
0x1FC1D2E30084	"FTP（油箱压力）传感器"
0x1FC1D2E30085	"FTS"
0x1FC1D2E30086	"维修模式状态"
0x1FC1D2E30087	"FTT（油箱温度）传感器"
0x1FC1D2E30088	"FTT传感器"
0x1FC1D2E30089	"装置已启动。"
0x1FC1D2E3008A	"释放执行器已启动过。"
0x1FC1D2E3008B	"FT传感器"
0x1FC1D2E3008C	"FT传感器"
0x1FC1D2E3008D	"油轨压力控制历史状态，显示控制模式通过燃油温度切换。"
0x1FC1D2E3008E	"亚洲4车门（标准）"
0x1FC1D2E3008F	"加拿大4车门（导航）"
0x1FC1D2E30090	"加拿大4车门（标准）"
0x1FC1D2E30091	"燃油消耗"
0x1FC1D2E30092	"燃油压力"
0x1FC1D2E30093	"如果您愿意，可以将仪表上的里程数和燃油经济性数值复位。"
0x1FC1D2E30094	"注意：在该测试中，请在发动机起动后立即驾驶车辆行驶。"
0x1FC1D2E30095	"注意："
0x1FC1D2E30096	"- 深圳富士伟业本田智能诊断程序将使用从ECM/PCM单元读取的已消耗燃油和已行驶里程数据来计算燃油经济性。"
0x1FC1D2E30097	"- 该屏幕中显示的燃油经济性数值与仪表、导航屏幕中显示的或通过“驾驶档案记录器查看器”等功能查看的燃油经济性数值有所不同，这是因为从ECU获取数据、计算燃油经济性、修正里程数的时间不相同。"
0x1FC1D2E30098	"- 对于燃油消耗量超过6.5升（1.72加仑）的驾驶行程，深圳富士伟业本田智能诊断程序无法计算燃油经济性数据。"
0x1FC1D2E30099	"- 如果行驶里程少于2公里（1.24英里），深圳富士伟业本田智能诊断程序不会显示结果，这是因为由较短的里程数无法计算得出准确的燃油经济性数值。"
0x1FC1D2E3009A	"请在转至下一屏幕之前仔细阅读该信息"
0x1FC1D2E3009B	"操作过程信息"
0x1FC1D2E3009C	"“燃油消耗量监视”操作的过程如下所述。"
0x1FC1D2E3009D	"1. 如果您愿意，可以将仪表上的里程数和燃油经济性数值复位。"
0x1FC1D2E3009E	"2. 将点火开关关闭再打开。"
0x1FC1D2E3009F	"3.起动发动机，燃油经济性数值的计算开始。"
0x1FC1D2E300A0	"4. 按[EXIT]按钮，计算停止。"
0x1FC1D2E300A1	"5. 深圳富士伟业本田智能诊断程序显示结果总结屏幕。"
0x1FC1D2E300A2	"您是否打算运行该测试？"
0x1FC1D2E300A3	"燃油消耗量：%s"
0x1FC1D2E300A4	"注意："
0x1FC1D2E300A5	"- 该功能在您按[EXIT]按钮后终止。"
0x1FC1D2E300A6	"- 如果行驶里程少于2公里（1.24英里），深圳富士伟业本田智能诊断程序不会显示结果，这是因为由较短的里程数无法计算得出准确的燃油经济性数值。"
0x1FC1D2E300A7	"- 该屏幕中显示的燃油经济性数值与仪表上显示的燃油经济性数值有所不同，这是因为以下原因：\n数据采样、计算时间、里程数修正等。"
0x1FC1D2E300A8	"与车辆的通信中断，或点火开关关闭。"
0x1FC1D2E300A9	"监视操作在此处停止。"
0x1FC1D2E300AA	"按[确定]键继续进行结果显示。"
0x1FC1D2E300AB	"深圳富士伟业本田智能诊断程序不会执行结果显示操作。"
0x1FC1D2E300AC	"这是因为您的行驶里程少于2公里（1.24英里），深圳富士伟业本田智能诊断程序无法得出准确的燃油经济性数值计算结果。"
0x1FC1D2E300AD	"请重试并驾驶车辆行驶超过2公里（1.24英里）。"
0x1FC1D2E300AE	"检查档位：N档"
0x1FC1D2E300AF	"燃油消耗监控器"
0x1FC1D2E300B0	"通信问题"
0x1FC1D2E300B1	"行驶里程过短"
0x1FC1D2E300B2	"FUELLVL"
0x1FC1D2E300B3	"燃油液位"
0x1FC1D2E300B4	"燃油传感器电压"
0x1FC1D2E300B5	"燃油温度传感器"
0x1FC1D2E300B6	"燃油盖松"
0x1FC1D2E300B7	"燃油消耗监控器"
0x1FC1D2E300B8	"燃油消耗"
0x1FC1D2E300B9	"已消耗燃油比较"
0x1FC1D2E300BA	"燃油切断"
0x1FC1D2E300BB	"所有燃油切断"
0x1FC1D2E300BC	"燃油切断减速"
0x1FC1D2E300BD	"燃油表指针指令"
0x1FC1D2E300BE	"燃油液位"
0x1FC1D2E300BF	"燃油传送单元输入1"
0x1FC1D2E300C0	"燃油传送单元输入2"
0x1FC1D2E300C1	"燃油液位A"
0x1FC1D2E300C2	"燃油液位传感器"
0x1FC1D2E300C3	"燃油表"
0x1FC1D2E300C4	"燃油测量"
0x1FC1D2E300C5	"燃油表控制"
0x1FC1D2E300C6	"燃油缺火"
0x1FC1D2E300C7	"燃油泵正在工作"
0x1FC1D2E300C8	"燃油压力"
0x1FC1D2E300C9	"燃油压力"
0x1FC1D2E300CA	"平均燃油压力"
0x1FC1D2E300CB	"燃油压力控制"
0x1FC1D2E300CC	"燃油压力控制"
0x1FC1D2E300CD	"燃油压力已经被释放"
0x1FC1D2E300CE	"燃油泵A"
0x1FC1D2E300CF	"燃油泵控制"
0x1FC1D2E300D0	"燃油量CB"
0x1FC1D2E300D1	"燃油量DAP"
0x1FC1D2E300D2	"燃油油路"
0x1FC1D2E300D3	"燃油基准电压"
0x1FC1D2E300D4	"燃油压力控制"
0x1FC1D2E300D5	"燃油压力传感器"
0x1FC1D2E300D6	"燃油传感器"
0x1FC1D2E300D7	"燃油传感器"
0x1FC1D2E300D8	"燃油供给"
0x1FC1D2E300D9	"燃油箱压力"
0x1FC1D2E300DA	"FULCHRG"
0x1FC1D2E300DB	"满"
0x1FC1D2E300DC	"EVP系统功能检查1历史"
0x1FC1D2E300DD	"EVP系统功能检查1结果"
0x1FC1D2E300DE	"EVP系统功能检查2结果"
0x1FC1D2E300DF	"EVP系统功能检查3结果"
0x1FC1D2E300E0	"电流幅值比率"
0x1FC1D2E300E1	"电流幅值比率（GEN）"
0x1FC1D2E300E2	"电流幅值比率（TRC）"
0x1FC1D2E300E3	"功能"
0x1FC1D2E300E4	"功能测试"
0x1FC1D2E300E5	"功能测试菜单"
0x1FC1D2E300E6	"功能A开关"
0x1FC1D2E300E7	"功能B开关"
0x1FC1D2E300E8	"功能控制"
0x1FC1D2E300E9	"功能"
0x1FC1D2E300EA	"前主传感器中性检查"
0x1FC1D2E300EB	"抬头显示器测试"
0x1FC1D2E300EC	"前主传感器中性点检查"
0x1FC1D2E300ED	"摄像机测试"
0x1FC1D2E300EE	"后主传感器中性点检查"
0x1FC1D2E300EF	"加热器测试"
0x1FC1D2E300F0	"后部副传感器中性点检查"
0x1FC1D2E300F1	"检测仪现在解锁。防起动装置功能可用\n \n 按下（复选标记）继续。"
0x1FC1D2E300F2	"该功能锁止"
0x1FC1D2E300F3	"该功能与车辆不匹配。"
0x1FC1D2E300F4	"该功能仍被锁止"
0x1FC1D2E300F5	"功能测试菜单"
0x1FC1D2E300F6	"动作指示器"
0x1FC1D2E300F7	"FV + GV（默认值）"
0x1FC1D2E300F8	"FV + GV"
0x1FC1D2E300F9	"加速侧控制牵引力"
0x1FC1D2E300FA	"补偿过程后的牵引力"
0x1FC1D2E300FB	"车辆牵引力实际值"
0x1FC1D2E300FC	"减速侧控制牵引力"
0x1FC1D2E300FD	"暂时过滤过程后的牵引力"
0x1FC1D2E300FE	"驾驶员牵引力请求"
0x1FC1D2E300FF	"左后车轮速度控制信号"
0x1FC1D2E30100	"右后车轮速度控制信号"
0x1FC1D2E30101	"左前车轮速度控制信号"
0x1FC1D2E30102	"左前车轮速度"
0x1FC1D2E30103	"右前车轮速度控制信号"
0x1FC1D2E30104	"右前车轮速度"
0x1FC1D2E30105	"左后车轮速度"
0x1FC1D2E30106	"右后车轮速度"
0x1FC1D2E30107	"前部轮胎低气压警告关闭极限"
0x1FC1D2E30108	"前轮胎低压复位阈值"
0x1FC1D2E30109	"前轮胎低压设定阈值"
0x1FC1D2E3010A	"前部轮胎低气压警告打开极限"
0x1FC1D2E3010B	"燃油滤清器水位开关"
0x1FC1D2E3010C	"四轮转向控制系统(4WS)"
0x1FC1D2E3010D	"IG1状态"
0x1FC1D2E3010E	"油门踏板状态"
0x1FC1D2E3010F	"空调操作状态"
0x1FC1D2E30110	"阴极输入端密封阀指令标记"
0x1FC1D2E30111	"阴极输出端密封阀指令标记"
0x1FC1D2E30112	"PDU熄火保护标记功能安全参数（电机）"
0x1FC1D2E30113	"PDU熄火保护标记功能安全参数（TMU-L）"
0x1FC1D2E30114	"PDU熄火保护标记功能安全参数（TMU-R）"
0x1FC1D2E30115	"单元电压稳定性（阳极净化）"
0x1FC1D2E30116	"搭扣开关状态"
0x1FC1D2E30117	"搭扣开关故障状态"
0x1FC1D2E30118	"用于SBW控制的制动开关2输入信号"
0x1FC1D2E30119	"制动开关2输入信号"
0x1FC1D2E3011A	"制动开关"
0x1FC1D2E3011B	"制动开关"
0x1FC1D2E3011C	"制动开关（GEN）"
0x1FC1D2E3011D	"制动开关（TRC）"
0x1FC1D2E3011E	"制动开关（电机）"
0x1FC1D2E3011F	"制动开关（TMU-L）"
0x1FC1D2E30120	"制动开关（TMU-R）"
0x1FC1D2E30121	"用于SBW控制的制动信号"
0x1FC1D2E30122	"燃料电池堆旁通阀打开指令"
0x1FC1D2E30123	"排放阀打开指令"
0x1FC1D2E30124	"净化阀打开指令"
0x1FC1D2E30125	"喷射器压力开关阀打开指令"
0x1FC1D2E30126	"F"
0x1FC1D2E30127	"巡航取消开关输入信号"
0x1FC1D2E30128	"单元电压稳定性（阴极净化）"
0x1FC1D2E30129	"巡航控制禁止的输出"
0x1FC1D2E3012A	"低温起动判断"
0x1FC1D2E3012B	"CDS信号故障状态"
0x1FC1D2E3012C	"CPCV控制启动标记"
0x1FC1D2E3012D	"HUMBP控制启动标记"
0x1FC1D2E3012E	"阴极输入端密封阀控制启动标记"
0x1FC1D2E3012F	"阴极输出端密封阀控制启动标记"
0x1FC1D2E30130	"巡航主开关输入信号"
0x1FC1D2E30131	"巡航控制启动的输出"
0x1FC1D2E30132	"巡航恢复开关输入信号"
0x1FC1D2E30133	"巡航设置开关输入信号"
0x1FC1D2E30134	"D档指示器输出"
0x1FC1D2E30135	"D禁止警告输出"
0x1FC1D2E30136	"DC-DC转换器因过电流而功率下降"
0x1FC1D2E30137	"DC-DC转换器过热"
0x1FC1D2E30138	"DC-DC转换器与ISU失去通信"
0x1FC1D2E30139	"DC-DC转换器电源（副）因电源电压过低而中断"
0x1FC1D2E3013A	"DC-DC转换器电源（副）因电源电压过高而中断"
0x1FC1D2E3013B	"ISU与DC-DC转换器失去通信"
0x1FC1D2E3013C	"DC-DC转换器电源因输入电压过低而中断"
0x1FC1D2E3013D	"DC-DC转换器电源因输入电压过高而中断"
0x1FC1D2E3013E	"DC-DC转换器电源因输出电压降低而中断"
0x1FC1D2E3013F	"DC-DC转换器电源因输出电压过高而中断"
0x1FC1D2E30140	"有DTC存在，测试不可用"
0x1FC1D2E30141	"燃料电池接触器氮气接通指令"
0x1FC1D2E30142	"燃料电池接触器P11接通指令"
0x1FC1D2E30143	"FCVCU自诊断完成标记"
0x1FC1D2E30144	"FO信号打开检测"
0x1FC1D2E30145	"FO信号打开检测"
0x1FC1D2E30146	"FO信号断路检测（GEN）"
0x1FC1D2E30147	"FO信号断路检测（TRC）"
0x1FC1D2E30148	"GEN PDU FO信号（GEN）"
0x1FC1D2E30149	"GEN PDU FO信号（TRC）"
0x1FC1D2E3014A	"TRC PDU FO信号"
0x1FC1D2E3014B	"TRC PDU FO信号"
0x1FC1D2E3014C	"TRC PDU FO信号（GEN）"
0x1FC1D2E3014D	"TRC PDU FO信号（TRC）"
0x1FC1D2E3014E	"阴极输入端密封阀强制打开模式标记"
0x1FC1D2E3014F	"阴极输出端密封阀强制打开模式标记"
0x1FC1D2E30150	"VCU FO信号"
0x1FC1D2E30151	"VCU FO信号"
0x1FC1D2E30152	"VCU FO信号（GEN）"
0x1FC1D2E30153	"VCU FO信号（TRC）"
0x1FC1D2E30154	"DTC 91-01"
0x1FC1D2E30155	"DTC 91-02"
0x1FC1D2E30156	"DTC 91-03"
0x1FC1D2E30157	"DTC 91-04"
0x1FC1D2E30158	"DTC 92-01"
0x1FC1D2E30159	"DTC 92-02"
0x1FC1D2E3015A	"DTC 93-01"
