152410ms
========== 700 ==========
700 8 02 3E 00 00 00 00 00 00      1287ms
7E2 8 01 3E 00 00 00 00 00 00      1285ms

========== 7E0 ==========
7E0 8 01 3E 00 00 00 00 00 00         3ms
7E8 8 01 7E 00 00 00 00 00 00         4ms

7E0 8 02 09 02 00 00 00 00 00         4ms
7E8 8 10 14 49 02 01 4C 56 47         1ms

7E0 8 30 00 04 00 00 00 00 00         0ms
7E8 8 21 43 4A 45 32 33 36 4B         6ms
7E8 8 22 47 36 31 38 32 31 38         5ms

7E0 8 02 21 C1 00 00 00 00 00         5ms
7E8 8 10 15 61 C1 4E 53 50 31         1ms

7E0 8 30 00 04 00 00 00 00 00         1ms
7E8 8 21 35 31 23 35 4E 52 46         5ms
7E8 8 22 4B 45 04 10 41 76 09         5ms
7E8 8 23 00 00 00 00 00 00 00      69610ms
7E0 8 01 3E 00 00 00 00 00 00         3ms
7E8 8 01 7E 00 00 00 00 00 00         5ms
7E0 8 02 A8 01 00 00 00 00 00         3ms
7E8 8 10 3E E8 01 00 04 FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         1ms
7E8 8 21 FF FF 01 34 FF FF FF         5ms
7E8 8 22 FF FF FF FF FF FF FF         5ms
7E8 8 23 FF FF FF FF FF FF FF         5ms
7E8 8 24 FF FF FF FF FF FF FF         6ms
7E8 8 25 FF FF FF FF 00 00 00         5ms
7E8 8 26 00 00 00 00 00 00 00         5ms
7E8 8 27 00 00 00 00 00 00 00         5ms
7E8 8 28 00 00 00 00 00 00 00         3ms
7E8 8 10 38 E8 01 02 02 FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         0ms
7E8 8 21 03 30 FF FF FF FF 00         5ms
7E8 8 22 00 FF 00 FF FF 00 00         5ms
7E8 8 23 FF 00 FF FF 00 00 00         5ms
7E8 8 24 00 00 00 00 00 00 00         5ms
7E8 8 25 00 00 00 00 00 00 00         5ms
7E8 8 26 00 00 00 00 00 00 00         5ms
7E8 8 27 00 00 00 00 FF FF 00         5ms
7E8 8 28 00 00 00 00 00 00 00         4ms
7E8 8 10 34 E8 01 04 30 FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         1ms
7E8 8 21 FF FF FF FF 00 00 00         5ms
7E8 8 22 00 FF FF FF FF 00 00         5ms
7E8 8 23 00 00 00 00 00 00 00         5ms
7E8 8 24 00 00 00 00 00 00 00         5ms
7E8 8 25 00 00 00 00 00 00 00         5ms
7E8 8 26 00 00 00 FF FF FF FF         5ms
7E8 8 27 00 00 00 00 00 00 00         4ms
7E8 8 10 34 E8 01 05 30 00 00         1ms

7E0 8 30 00 04 00 00 00 00 00         0ms
7E8 8 21 FF FF 00 00 FF FF 00         5ms
7E8 8 22 00 FF FF 00 00 00 00         5ms
7E8 8 23 00 00 00 00 00 00 00         5ms
7E8 8 24 00 00 00 00 00 00 00         5ms
7E8 8 25 00 00 00 00 00 00 00         6ms
7E8 8 26 00 00 00 00 00 00 00         5ms
7E8 8 27 00 00 00 00 00 00 00         4ms
7E8 8 10 16 E8 01 06 12 FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         0ms
7E8 8 21 FF FF FF FF FF FF FF         5ms
7E8 8 22 FF FF FF FF FF 00 00         5ms
7E8 8 23 00 00 00 00 00 00 00         5ms
7E8 8 10 3F E8 01 10 3B FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         1ms
7E8 8 21 FF FF FF FF FF FF FF         5ms
7E8 8 22 FF FF FF FF FF FF FF         5ms
7E8 8 23 FF FF FF FF FF FF FF         5ms
7E8 8 24 FF FF FF FF FF FF FF         5ms
7E8 8 25 FF FF FF FF FF FF FF         5ms
7E8 8 26 FF FF FF FF FF FF FF         5ms
7E8 8 27 FF FF FF FF FF FF FF         5ms
7E8 8 28 FF FF FF FF FF FF FF         5ms
7E8 8 29 FF 00 00 00 00 00 00         2ms
7E8 8 10 3F E8 01 11 3B FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         0ms
7E8 8 21 FF FF FF FF FF FF FF         6ms
7E8 8 22 FF FF FF FF FF FF FF         5ms
7E8 8 23 FF FF FF FF FF FF FF         5ms
7E8 8 24 FF FF FF FF FF FF FF         6ms
7E8 8 25 FF FF FF FF FF FF FF         5ms
7E8 8 26 FF FF FF FF FF FF FF         5ms
7E8 8 27 FF FF FF FF FF FF FF         5ms
7E8 8 28 FF FF FF FF FF FF FF         5ms
7E8 8 29 FF 00 00 00 00 00 00         3ms
7E8 8 10 3F E8 01 12 3B FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         1ms
7E8 8 21 FF FF FF FF FF FF FF         5ms
7E8 8 22 FF FF FF FF FF FF FF         5ms
7E8 8 23 FF FF FF FF FF FF FF         5ms
7E8 8 24 FF FF FF FF FF FF FF         5ms
7E8 8 25 FF FF FF FF FF FF FF         5ms
7E8 8 26 FF FF FF FF FF FF FF         5ms
7E8 8 27 FF FF FF FF FF FF FF         5ms
7E8 8 28 FF FF FF FF FF FF FF         5ms
7E8 8 29 FF 00 00 00 00 00 00         3ms
7E8 8 10 3F E8 01 13 3B FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         1ms
7E8 8 21 FF FF FF FF FF FF FF         5ms
7E8 8 22 FF FF FF FF FF FF FF         5ms
7E8 8 23 FF FF FF FF FF FF FF         5ms
7E8 8 24 FF FF FF FF FF FF FF         5ms
7E8 8 25 FF FF FF FF FF FF FF         5ms
7E8 8 26 FF FF FF FF FF FF FF         5ms
7E8 8 27 FF FF FF FF FF FF FF         5ms
7E8 8 28 FF FF FF FF FF FF FF         5ms
7E8 8 29 FF 00 00 00 00 00 00         3ms
7E8 8 10 3F E8 01 14 3B FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         1ms
7E8 8 21 FF FF FF FF FF FF FF         5ms
7E8 8 22 FF FF FF FF FF FF FF         5ms
7E8 8 23 FF FF FF FF FF FF FF         5ms
7E8 8 24 FF FF FF FF FF FF FF         5ms
7E8 8 25 FF FF FF FF FF FF FF         5ms
7E8 8 26 FF FF FF FF FF FF FF         5ms
7E8 8 27 FF FF FF FF FF FF FF         5ms
7E8 8 28 FF FF FF FF FF FF FF         5ms
7E8 8 29 FF 00 00 00 00 00 00         2ms
7E8 8 10 3F E8 01 15 3B FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         2ms
7E8 8 21 FF FF FF FF FF FF FF         5ms
7E8 8 22 FF FF FF FF FF FF FF         5ms
7E8 8 23 FF FF FF FF FF FF FF         5ms
7E8 8 24 FF FF FF FF FF FF FF         5ms
7E8 8 25 FF FF FF FF FF FF FF         5ms
7E8 8 26 FF FF FF FF FF FF FF         5ms
7E8 8 27 FF FF FF FF FF FF FF         6ms
7E8 8 28 FF FF FF FF FF FF FF         5ms
7E8 8 29 FF 00 00 00 00 00 00         5ms
7E8 8 10 3F E8 01 16 3B FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         1ms
7E8 8 21 FF FF FF FF FF FF FF         5ms
7E8 8 22 FF FF FF FF FF FF FF         5ms
7E8 8 23 FF FF FF FF FF FF FF         5ms
7E8 8 24 FF FF FF FF FF FF FF         5ms
7E8 8 25 FF FF FF FF FF FF FF         5ms
7E8 8 26 FF FF FF FF FF FF FF         5ms
7E8 8 27 FF FF FF FF FF FF FF         5ms
7E8 8 28 FF FF FF FF FF FF FF         5ms
7E8 8 29 FF 00 00 00 00 00 00         2ms
7E8 8 10 3F E8 01 17 3B FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         1ms
7E8 8 21 FF FF FF FF FF FF FF         5ms
7E8 8 22 FF FF FF FF FF FF FF         5ms
7E8 8 23 FF FF FF FF FF FF FF         5ms
7E8 8 24 FF FF FF FF FF FF FF         5ms
7E8 8 25 FF FF FF FF FF FF FF         5ms
7E8 8 26 FF FF FF FF FF FF FF         5ms
7E8 8 27 FF FF FF FF FF FF FF         5ms
7E8 8 28 FF FF FF FF FF FF FF         5ms
7E8 8 29 FF 00 00 00 00 00 00         3ms
7E8 8 10 3F E8 01 18 3B FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         1ms
7E8 8 21 FF FF FF FF FF FF FF         5ms
7E8 8 22 FF FF FF FF FF FF FF         5ms
7E8 8 23 FF FF FF FF FF FF FF         5ms
7E8 8 24 FF FF FF FF FF FF FF         5ms
7E8 8 25 FF FF FF FF FF FF FF         5ms
7E8 8 26 FF FF FF FF FF FF FF         5ms
7E8 8 27 FF FF FF FF FF FF FF         5ms
7E8 8 28 FF FF FF FF FF FF FF         5ms
7E8 8 29 FF 00 00 00 00 00 00         2ms
7E8 8 10 3F E8 01 19 3B FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         1ms
7E8 8 21 FF FF FF FF FF FF FF         5ms
7E8 8 22 FF FF FF FF FF FF FF         5ms
7E8 8 23 FF FF FF FF FF FF FF         5ms
7E8 8 24 FF FF FF FF FF FF FF         5ms
7E8 8 25 FF FF FF FF FF FF FF         6ms
7E8 8 26 FF FF FF FF FF FF FF         5ms
7E8 8 27 FF FF FF FF FF FF FF         5ms
7E8 8 28 FF FF FF FF FF FF FF         5ms
7E8 8 29 FF 00 00 00 00 00 00         3ms
7E8 8 10 2E E8 01 20 04 FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         0ms
7E8 8 21 FF FF 21 20 FF FF FF         5ms
7E8 8 22 00 00 00 00 00 00 FF         5ms
7E8 8 23 FC 00 00 00 00 00 00         5ms
7E8 8 24 00 00 00 00 00 00 00         5ms
7E8 8 25 00 00 00 00 00 00 00         5ms
7E8 8 26 00 23 02 FF FF 00 00         2ms
7E8 8 10 39 E8 01 25 10 0E 10         1ms

7E0 8 30 00 04 00 00 00 00 00         1ms
7E8 8 21 00 F0 F0 E0 80 00 04         5ms
7E8 8 22 00 00 85 00 00 00 00         5ms
7E8 8 23 26 10 0E 10 00 F0 F0         5ms
7E8 8 24 E0 80 00 04 00 00 85         5ms
7E8 8 25 00 00 00 00 27 04 FF         5ms
7E8 8 26 FF FF FF 28 03 FF FF         5ms
7E8 8 27 FF 29 06 FF FF FF FF         5ms
7E8 8 28 FF FF 00 00 00 00 00         3ms
7E8 8 10 38 E8 01 30 0A 00 00         1ms

7E0 8 30 00 04 00 00 00 00 00         0ms
7E8 8 21 00 00 00 00 00 00 FF         5ms
7E8 8 22 FF 33 28 FF 00 FF FF         5ms
7E8 8 23 00 00 00 00 00 00 00         5ms
7E8 8 24 00 00 00 00 00 00 00         5ms
7E8 8 25 00 00 00 00 00 00 00         5ms
7E8 8 26 00 00 00 00 00 00 00         5ms
7E8 8 27 00 00 00 00 00 00 FF         5ms
7E8 8 28 FF 00 00 00 00 00 00         4ms
7E8 8 10 3B E8 01 35 09 00 00         1ms

7E0 8 30 00 04 00 00 00 00 00         0ms
7E8 8 21 00 00 00 00 00 FF FF         5ms
7E8 8 22 37 1F FF FF 00 00 00         5ms
7E8 8 23 00 00 00 FF FF FF FF         5ms
7E8 8 24 FF FF FF FF FF FF FF         5ms
7E8 8 25 FF 20 C7 90 00 00 00         5ms
7E8 8 26 00 00 00 00 00 39 0B         5ms
7E8 8 27 00 1A 00 02 E0 00 40         5ms
7E8 8 28 00 00 00 00 00 00 00         4ms
7E8 8 10 31 E8 01 3A 2D 00 00         1ms

7E0 8 30 00 04 00 00 00 00 00         1ms
7E8 8 21 00 00 00 00 00 00 00         5ms
7E8 8 22 00 00 00 00 FF FF 00         5ms
7E8 8 23 00 FF FF 00 00 00 00         5ms
7E8 8 24 00 00 00 00 00 00 00         5ms
7E8 8 25 00 00 00 00 00 00 00         5ms
7E8 8 26 30 00 00 00 FF FF FF         5ms
7E8 8 27 FF 00 00 00 00 00 00         4ms
7E8 8 10 2E E8 01 3C 24 FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         1ms
7E8 8 21 00 00 FF FF FF 00 00         5ms
7E8 8 22 00 00 00 00 00 00 00         5ms
7E8 8 23 00 00 00 00 00 00 00         5ms
7E8 8 24 00 00 00 00 00 00 00         5ms
7E8 8 25 00 00 00 00 00 00 40         5ms
7E8 8 26 04 FF FF FF FF 00 00         6ms
7E8 8 10 2E E8 01 41 15 FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         1ms
7E8 8 21 FF FF FF FF FF FF FF         5ms
7E8 8 22 FF FF FF FF FF FF FF         5ms
7E8 8 23 FF FF 00 00 FC 42 10         5ms
7E8 8 24 FF FF FF FF FF FF FF         5ms
7E8 8 25 FF FF FF 00 00 00 00         5ms
7E8 8 26 FF FF 43 01 FF 00 00         5ms
7E8 8 10 2D E8 01 44 29 00 00         1ms

7E0 8 30 00 04 00 00 00 00 00         0ms
7E8 8 21 00 00 FF FF 00 00 00         5ms
7E8 8 22 00 00 00 FF FF FF FF         5ms
7E8 8 23 FF FF 00 00 00 00 00         5ms
7E8 8 24 00 00 00 00 00 80 FF         5ms
7E8 8 25 FF 00 00 FF FF 00 00         5ms
7E8 8 26 FF FF 00 00 00 00 00         2ms
7E8 8 10 3A E8 01 45 1A FF FF         1ms

7E0 8 30 00 04 00 00 00 00 00         0ms
