AB,C,D,E,F,G,H,I,J,K,L
0x0140010000,"0x00E2","0x0001","0x0048","0x0001","C","0x0001","0x0000","0x0000","0x0023","0x6A70","0x1AAB"
0x0492000000,"0x02E7","0x0004","0x0000","0x0000","B","0x1200","0x0000","0x0000","0x0051","0x6BAE","0x05F2"
0x0492020000,"0x02E8","0x0004","0x0000","0x0000","B","0x1202","0x0000","0x0000","0x0051","0x6BAF","0x05F3"
0x0492050000,"0x02E9","0x0004","0x0000","0x0000","B","0x1205","0x0000","0x0000","0x0051","0x6BB0","0x05F5"
0x0492060000,"0x02EA","0x0004","0x0000","0x0000","B","0x1206","0x0000","0x0000","0x0051","0x6BB1","0x05F6"
0x0492070000,"0x02EB","0x0004","0x0000","0x0000","B","0x1207","0x0000","0x0000","0x0051","0x6BB2","0x05F7"
0x0492250000,"0x02EC","0x0004","0x0000","0x0000","B","0x1225","0x0000","0x0000","0x0051","0x6BB5","0x0631"
0x0492260000,"0x02ED","0x0004","0x0000","0x0000","B","0x1226","0x0000","0x0000","0x0051","0x6BB6","0x0632"
0x0492270000,"0x02EE","0x0004","0x0000","0x0000","B","0x1227","0x0000","0x0000","0x0051","0x6BB7","0x0633"
0x0492280000,"0x02EF","0x0004","0x0000","0x0000","B","0x1228","0x0000","0x0000","0x0051","0x6BB8","0x0634"
0x0492290000,"0x02F0","0x0004","0x0000","0x0000","B","0x1229","0x0000","0x0000","0x0051","0x6BB9","0x0635"
0x0492300000,"0x02F1","0x0004","0x0000","0x0000","B","0x1230","0x0000","0x0000","0x0051","0x6BBA","0x064C"
0x0492310000,"0x02F2","0x0004","0x0000","0x0000","B","0x1231","0x0000","0x0000","0x0051","0x6BBB","0x064D"
0x0492320000,"0x02F3","0x0004","0x0000","0x0000","B","0x1232","0x0000","0x0000","0x0051","0x6BBC","0x064E"
0x0492330000,"0x02F4","0x0004","0x0000","0x0000","B","0x1233","0x0000","0x0000","0x0051","0x6BBD","0x064F"
0x0492340000,"0x02F5","0x0004","0x0000","0x0000","B","0x1234","0x0000","0x0000","0x0051","0x6BBE","0x0650"
0x0492350000,"0x02F6","0x0004","0x0000","0x0000","B","0x1235","0x0000","0x0000","0x0051","0x6BBF","0x0651"
0x0492360000,"0x02F7","0x0004","0x0000","0x0000","B","0x1236","0x0000","0x0000","0x0051","0x6BC0","0x0652"
0x0492370000,"0x02F8","0x0004","0x0000","0x0000","B","0x1237","0x0000","0x0000","0x0051","0x6BC1","0x0653"
0x0492380000,"0x02F9","0x0004","0x0000","0x0000","B","0x1238","0x0000","0x0000","0x0051","0x6BC2","0x0654"
0x0492390000,"0x02FA","0x0004","0x0000","0x0000","B","0x1239","0x0000","0x0000","0x0051","0x6BC3","0x0655"
0x0492400000,"0x02FB","0x0004","0x0000","0x0000","B","0x1240","0x0000","0x0000","0x0051","0x6BC4","0x0668"
0x0492410000,"0x02FC","0x0004","0x0000","0x0000","B","0x1241","0x0000","0x0000","0x0051","0x6BC5","0x0669"
0x0492420000,"0x02FD","0x0004","0x0000","0x0000","B","0x1242","0x0000","0x0000","0x0051","0x6BC6","0x066A"
0x0492430000,"0x02FE","0x0004","0x0000","0x0000","B","0x1243","0x0000","0x0000","0x0051","0x6BC7","0x066B"
